"300 obtained, 0 missing (300 visible)",,Short URL: http://goo.gl/HxAzdJ  --  Item search: http://toukiden.surge.sh/itemsearch -- Mitama skill search: http://toukiden.surge.sh/mitamasearch -- To have your own editable checklist: File -> Make a Copy...,,,,,,,,,,,,,,,,,,,
#,Name,Obtained,New in Kiwami,Confirmed source,Type,Age,Source,Difficulty,Where to find,Skill 1,Skill 2,Skill 3,Skill 4,Skill 5,Skill 6,Skill 7,Skill 8,Skill 9,Skill 10,Skill 11,Skill 12
013,Ashikaga Yoshimitsu,x,,x,SPD,Honor,Shadow Soul,Normal,C3-13,Protection (Lv. 2),Energy (Stock +1),Notice Destroyer,Agility (Stock +2),Application (Lv. 2),Taunt (Time +10s),Shield (Reduce),Devotion,Restoration (Lv. 3),Barrier+ (Link),Energy+ (Lure),Restoration (Lv. 4)
014,Ashikaga Yoshiteru,x,x,x,PLN,War,Pyropteryx,Normal,"C4-4, P4-3",Verity (Lv.1),Chain,Charge,Puncture+ (Accuracy),Gouge Master,Verity (Lv.3),Ablution (Stock +2),Stupor (Reduce),Reload speed+,Stupor+ (Destroy),Breaker+ (Havok),Swordsmanship
015,Ashiya Doman,x,,x,DCT,Grace,Drumble,Normal,"C1-3, P1-3",Affliction (Lv. 1),Verity (Lv.2),Fitness (Lv. 1),Tenacity,Illusion+ (Sturdy),Paradox (Time +5s),Puncture+ (Amplify),Puncutre (Stock +3),Stealth (Lv. 2),Random+ (DCT Style),Arcanum,Exploit (Wrath)
016,Aterui,x,,x,DEF,Grace,Manhunter,Ex,"C6-13, P6-1, P6-15, P9-16, P10-13",Persistence,Protection (Lv. 2),Chain,Recovery (Stock +2),Shield (Stock +2),Renewal (Lv. 2),Evasion,Barrier (Time +10s),Protection (Lv. 3),Barrier+ (Shred),Wrath,Barrier (Stock +1)
017,Benkei,x,,x,ATK,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Assertion,Attack up (Lv.2),Stamina (Lv. 2),Leech (Stock +2),Persistence,Taunt (Time +5s),Stamina (Lv. 3),Taunt+ (Damage),Taunt+ (Protect),Barrier (Time +10s),Carnage+ (Almighty),Man-at-Arms
018,Chacha,x,,x,SPT,War,Dreadhalf,Normal,P5-17,Eruption+ (Bolster),Ebullience,Pursuit+ (Absorb),Fountain (Stock +1),Attack up (Lv.2),Pursuit (Stock +1),Eruption (Reduce),Expert Destroyer,SPT Master (Renewal),SPT Master (Purify),Piety,Pursuit+ (Purify)
019,Chiba Sanako,x,,x,SPD,Chaos,Hell's Warden,Normal,"C5-12, C5-15, P5-5, P5-8",Restoration (Lv. 2),Energy (Stock +2),Verity (Lv.2),Random (Stock +1),Restoration (Lv. 3),Fortune+ (Swift),Random+ (SPD Style),Expert Destroyer,Restart,Vigor+ (Link),Falling Petals,Energy+ (Accuracy)
020,Chiba Shusaku,x,,x,SPC,Chaos,Manhunter,Ex,P10-4,Fervor,Charge,Paradox+ (Link),Paradox (Stock +1),Leech (Reduce),Paradox+ (Restrain),Leech+ (Quicken),Devotion,Paradox+ (Brawn),Tempered Blade,Chain,Prescience
021,Chikamatsu Monzaemon,x,x,x,SUP,Peace,Onyxwing,Ex,P12-11,Determination,Notice Destroyer,Intensity (Time +5s),Altruism+ (Wraith),Intensity+ (Reduce),Altruism+ (Accuracy),SUP Master (Amplify),Intensity (Range),Altruism (Stock +3),Swordsmanship,Intensity (Amplify),Expert Destroyer
022,Chosokabe Motochika,x,x,x,SPD,War,Petros,Ultimate,"P15-4, P17-4",Application (Lv. 4),Wrath,Energy+ (Accuracy),Lightspeed trust,Vigor+ (Nimble),Fervor,Prescience,Vigor+ (Wraith),Agility+ (Dual),Vigor+ (Destroy),Vigor+ (Special),Vigor (Stock +2)
023,Daikokuya Kodayu,x,,x,LCK,Peace,Bladewing,Normal,"C4-16, C5-2, P4-10, P4-13",Attack up (Lv.1),Fortune (Reduce),Stamina (Lv. 2),Random (Stock +1),Attack up (Lv.2),Fortune+ (Recover),Fortune+ (Kismet),Fortune (Time +10s),Fortune+ (Surprise),Random+ (Gamble),Exploit (Rage),Fortune+ (Amplify)
024,Date Masamune,x,,x,ATK,War,Dreadhalf,Ex,"C6-8, C7-18, C11-15, P6-13, S-19",Chain,Verity (Lv.2),Swordsmanship,Carnage (Stock +1),Fountain (Reduce),Leech+ (Absorb),Stealth (Lv. 2),Verity (Lv.3),Expert Destroyer,Fountain+ (Bolster),Mitama Pulse,Ebullience
025,Dokyo,x,,x,HLG,Grace,Bloodhunter,Normal,C4-7,Protection (Lv. 1),Zeal (Stock +2),Prescience,Shield (Stock +1),Taunt+ (Amity),Persistence,Barrier (Reduce),Tolerance (Lv. 3),Recuperation (Lv. 2),DEF Master (Protect),Surveyance,Exuberance
026,En no Ozunu,x,,x,SPC,Yore,Guardian Tree,-,,Recovery+ (Heal),Conviction,Recovery+ (Amplify),Paradox (Stock +1),Renewal (Lv. 2),Warp (Stock +15),Sanctum (Time +10s),Protection (Lv. 4),Stone Wall,Paradox (Time +5s),Paradox+ (Bolster),SPC Master (Extend)
027,Enomoto Takeaki,x,,x,SPT,Chaos,Bloodhunter,Normal,"C4-13, P4-17",Attack up (Lv.1),Devastation,Knowledge (Lv.2),Fountain (Stock +1),Fountain+ (Bolster),Eruption (Stock +1),Eruption (Reduce),Verity (Lv.3),Eruption+ (Bolster),Eruption+ (Raid),Verity (Lv.4),SPT Master (Havoc)
028,Fujiwara no Chikata,x,x,x,PLN,Grace,Chapter 10,-,,Lure (Lv. 1),Perseverance,Attack up (Lv.2),Breaker (Stock +2),Ablution+ (Potency),Breaker+ (Reduce),Prescience,Attack up (Lv.3),Breaker+ (Link),Ablution+ (Nimble),Devotion,Intensity+ (Destroy)
029,Fujiwara no Fuhito,x,x,x,SPC,Yore,Panthera,Ultimate,"C13-20, P13-13, P17-1",Wrath,Heroes' Rally,Sanctum (Stock +3),Sanctum+ (Amplify),Sacrifice (Reduce),Sanctum+ (Accuracy),Diffusion+ (Reduce),Sanctum+ (Swift),Diffusion+ (Quicken),Sanctum+ (Quicken),Sacrifice+ (Link),Protection of Heroes
030,Fujiwara no Hidehira,x,x,x,DEF,Honor,Snowflame,Ex,"C11-20, C12-11, P11-21, P12-8, P12-13",Haku Collector,Tranquility,Sacrifice (Reduce),Confrontation,Diffusion+ (Rigid),Taunt+ (Assist),Sacrifice+ (Spirit),Shield+ (Range),Sacrifice+ (Minimize),Shield+ (Link),DEF Master (Protect),Chance
031,Fujiwara no Hidesato,x,,x,DCT,Grace,Bloodhunter,Ex,"C6-10, C6-13, P8-6, P9-16, P10-13",Affliction (Lv. 2),Puncture+ (Amplify),Puncture (Time +5s),Puncutre (Stock +3),Affliction (Lv. 3),Devotion,Prescience,Might+ (Rage),Notice Destroyer,Might+ (Surprise),Puncture+ (Surprise),Exploit (Rage)
032,Fujiwara no Kusuko,x,x,x,PLN,Grace,Venom Queen,Ultimate,"P15-11, P15-14, DLC-8",Verity (Lv.4),Swiftness,Devastation,Ablution (Stock +3),Illusion+ (Sneak),Heroes' Rally,Ablution (Time +3s),DCT Master (Surprise),Ablution+ (Nimble),Exploit (Accuracy),Ablution+ (Restore),Exploit (Absorb)
033,Fujiwara no Michinaga,x,,x,SPC,Grace,Venom Queen,Ex,"C6-15, C6-17, P6-9, P6-14, P10-13",Renewal (Lv. 2),Relaxation,Piety,Warp (Stock +10),Heroes' Rally,Barrier+ (Brawn),SPC Master (Quicken),Warp+ (Flight),Protection (Lv. 3),Taunt+ (Damage),Chain,Protection of Heroes
034,Fujiwara no Sadaie,x,x,x,SUP,Honor,Snowflame,Ultimate,"P16-5, P17-3",Knowledge (Lv.4),Diffusion+ (Hardy),Protection of Heroes,Fountain (Reduce),Altruism+ (Qinggong),Fountain (Stock +3),Altruism+ (Attrib.),Knowledge (Absorb),SPT Master (Purify),Sacrifice+ (Rally),Fountain+ (Assist),Restart
035,Fujiwara no Sumitomo,x,,x,LCK,Grace,Bloodhunter,Normal,C4-7,Knowledge (Lv.1),Random+ (SPT Style),Heroes' Rally,Random (Stock +2),Pursuit+ (Bolster),Fountain (Stock +2),Spin Doctor,Attack up (Lv.3),Eruption (Reduce),Pursuit+ (Purify),SPT Master (Purify),Knowledge (Absorb)
036,Fujiwara no Yorimichi,x,x,x,SUP,Grace,Mynx,Ex,"C11-14, P11-18",Recuperation (Lv. 1),Diffusion+ (Reduce),Sanctum (Stock +2),Warp+ (Teleport),Diffusion+ (Assist),Recuperation (Lv. 2),Sanctum+ (Extend),Sanctum+ (Assist),Diffusion+ (Quicken),Warp+ (Assembly),SUP Master (Hardy),Bound Souls
037,Fukuzawa Yukichi,x,x,x,LCK,Chaos,Aurogrinder,Ultimate,,Haku Collector,Fortune+ (Amplify),Random (Stock +3),Haku Enthusiast,Fortune+ (Quicken),Fortune+ (Kismet),Fortune (Stock +3),Revival+ (Quicken),Fortune+ (Miracle),Revival+ (Blessing),Protection of Heroes,Revival (Stock +1)
038,Fuma Kotaro,x,,x,SPD,War,Amaranthine King,Ex,"C12-20, P10-16, P10-18, P10-20, P12-20",Chain,Whirlwind,Application (Lv. 2),Energy+ (Bonus),Energy (Stock +2),Dissection (Focus),Energy (Time +5s),Determination,Restoration (Lv. 3),Vigor+ (Link),Aerial Assault,Fervor
039,Genno,x,x,x,PLN,Honor,Snowflame,Ex,"C11-20, C12-11, P11-21, P12-8, P12-13",Notice Destroyer,Antidote,Tenacity,Expert Destroyer,Confrontation,Conviction,Earthshaker,Barrier+ (Awe),Intensity (Stock +1),Barrier+ (Wraith),Majesty,Insight
040,Go,x,,x,LCK,Peace,Blitzer,Ex,"C7-1, P9-5",Chance,LCK Master (Fortune),Fortune (Reduce),Recuperation (Lv. 2),Zeal+ (Valor),Fortune (Stock +3),Random (Stock +3),Panacea (Stock +1),Random+ (HLG Style),Fortune+ (Miracle),Vitality+ (Assist),Restart
041,Goto Matabei,x,,x,DEF,War,Cimmerian King,Ex,"C12-20, P9-19, P10-18",Charge,Verity (Lv.2),Puncture (Reduce),Shield (Stock +2),Puncture+ (Accuracy),Taunt+ (Damage),Devotion,Verity (Lv.3),Heroes' Rally,Barrier+ (Awe),Concentration,Prescience
042,Gyoki,x,x,x,HLG,Grace,Thanatoceros,Ultimate,"P15-5, P15-10, P17-2, DLC-9",Master Destroyer,Piety,Lifesaver,Renewal (Lv. 2),PLN Master (Extend),Breaker (Stock +3),Zeal+ (Wraith),Ablution+ (Potency),Insight,Panacea+ (Destroy),Majesty,Exuberance
043,Hachikazuki,x,x,x,SUP,Grace,Bloodhunter,Normal,C4-7,Verity (Lv.1),Dissection (Health),Altruism+ (Amplify),Altruism (Stock +2),Altruism+ (Wraith),Zeal (Time +5s),Zeal+ (Wraith),Verity (Lv.3),SUP Master (Amplify),Majesty,Zeal+ (Accuracy),Swordsmanship
044,Hasegawa Heizo,x,x,x,ATK,Peace,Maledictaur,Ex,"C10-15, C11-10, P11-16, P12-12",Attack up (Lv.3),Confrontation,Charge,Prescience,Breaker+ (Amplify),Devastation,Might+ (Nimble),PLN Master (Amplify),Attack up (Lv.4),Might+ (Rage),Conviction,Wrath
045,Hatakeyama Shigetada,x,,x,DEF,Honor,Chthonian Fiend,Normal,"C4-17, C5-11, P4-18, P5-3",Affliction (Lv. 2),Taunt (Stock +2),Stamina (Lv. 2),Puncture (Stock +1),Protection (Lv. 2),Ebullience,Illusion+ (Sturdy),Protection (Lv. 3),Determination,Stupor (Stock +1),Affliction (Lv. 4),Exploit (Absorb)
046,Hatsu,x,x,x,SUP,Peace,Maledictaur,Ex,"C10-15, C11-10, P11-16, P12-12",Knowledge (Lv.2),Recovery (Stock +2),Knowledge (Absorb),Altruism+ (Attrib.),Fortune+ (Gambler),Diffusion+ (Assist),Knowledge (Lv.3),Fortune+ (Assist),Random+ (SUP Style),Knowledge (Lv.4),Sacrifice+ (Link),Protection of Heroes
047,Hattori Hanzo,x,,x,SPD,War,Nightblade,Ex,P8-13,Chain,Gymnast,Energy (Stock +2),Swiftness,Stealth (Lv. 2),Energy (Reduce),Taunt+ (Swift),Tranquility,Application (Lv. 4),Energy+ (Swift),Arcanum,Heroes' Rally
048,Hieda no Are,x,x,x,SUP,Grace,Manhunter,Normal,"C1-7, C2-6, C2-10, C2-15, P1-7, P2-3, P2-12",Recuperation (Lv. 1),Diffusion (Stock +1),Conviction,Diffusion+ (Reduce),Recuperation (Lv. 2),Puncture (Stock +2),Diffusion+ (Assist),Illusion+ (Assist),Puncture+ (Surprise),Altruism+ (Nimble),Sacrifice+ (Link),Lowered Immunity
049,Hijikata Toshizo,x,,x,DEF,Chaos,Hell's Warden,Normal,"C5-12, C5-15, P5-5, P5-8",Protection (Lv. 2),Stone Wall,Alertness,Taunt (Stock +1),DEF Master (Augument),Recovery (Stock +2),DEF Master (Valiant),DEF Master (Lure),Protection (Lv. 3),Shield (Stock +3),Tolerance (Lv. 4),DEF Master (Resist)
050,Hikaru Genji,x,,x,HLG,Grace,Bladewing,Ex,"C7-7, P9-7",Piety,Recovery (Stock +2),Chance,Vitality+ (Amplify),Recovery+ (Blessing),LCK Master (Recover),Random (Reduce),Fortune+ (Recover),Stone Wall,Random+ (HLG Style),Recovery+ (Range),Vitality+ (Heal)
051,Himiko,x,,x,SPC,Yore,Viper Queen,Normal,"C4-11, C4-14, P4-5, P4-9",Alertness,Chain,Piety,Warp (Stock +5),Warp+ (Teleport),Sanctum (Stock +2),Fitness (Lv. 2),Sanctum+ (Amplify),Tolerance (Lv. 3),Sanctum (Time +10s),Sanctum+ (Assist),Paradox+ (Link)
052,Hino Tomiko,x,,x,LCK,Honor,Jollux,Ex,"C6-9, C6-14, C11-6, P6-6, P6-12",Protection (Lv. 2),Fortune+ (Kismet),Revival+ (Blessing),Fortune (Stock +3),Protection (Lv. 3),Stone Wall,Barrier (Stock +1),Fortune+ (Recover),Taunt (Time +10s),Barrier (Time +10s),Fortune+ (Blessing),Haku Enthusiast
053,Hiraga Gennai,x,,x,DCT,Peace,Umbrapod,Normal,"P3-1, S-16",Stealth (Lv. 1),Swordsmanship,Stamina (Lv. 2),Illusion (Stock +2),Verity (Lv.2),Fortune+ (Surprise),Random (Reduce),Affliction (Lv. 3),Protection of Heroes,Fortune (Stock +3),Illusion+ (Surprise),Exploit (Rage)
054,Hiruko,x,x,x,SPC,Yore,Metagnost,Ex,"P12-21, P12-22",Abyss,Assertion,Tenacity,Wrath,Heroes' Rally,SPC Master (Quicken),Sanctum+ (Accuracy),Sanctum+ (Extend),Paradox+ (Bolster),Paradox+ (Link),Protection of Heroes,Paradox (Time +10s)
055,Hojo Masako,x,,x,SPC,Honor,Umbrapod,Ex,C6-6,SPC Master (Purify),Sanctum+ (Quicken),Piety,Sanctum (Stock +2),Swiftness,Stamina (Lv. 4),Sanctum+ (Hardy),Shield (Reduce),Shield (Stock +3),Shield+ (Range),Sanctum (Time +10s),Restart
056,Hojo Soun,x,,x,DEF,War,Shadow Soul,Ex,"C6-7, P8-1, P9-19",Eruption (Stock +1),Fervor,Stamina (Lv. 2),Shield (Stock +2),Protection (Lv. 2),Pursuit (Stock +3),Devastation,Protection (Lv. 3),Barrier (Stock +1),Barrier (Time +10s),Stealth (Lv. 2),Wrath
057,Hojo Tokimune,x,,x,DCT,Honor,Harrowhalf,Ex,"C6-6, C6-14, C7-16, P6-7, P6-12",Affliction (Lv. 2),Swiftness,Restart,Fortune (Reduce),Affliction (Lv. 3),Random (Stock +2),Puncutre (Stock +3),Stupor (Stock +1),Random+ (DCT Style),Fortune+ (Accuracy),Exploit (Accuracy),Fervor
058,Hojo Ujiyasu,x,x,x,ATK,War,Chapter 12,-,,Expert Destroyer,Fraternity,Breaker+ (Amplify),Swordsmanship,Affliction (Lv. 4),Great Ambition,Charity,Intensity (Amplify),Intensity (Insight),Carnage+ (Destroy),Exploit (Rage),Insight
059,Honda Tadakatsu,x,,x,DEF,War,Astrapteryx,Ex,"C7-9, P7-9, P10-9",Chain,Ebullience,Prescience,Taunt+ (Damage),Dissection (Health),Shield+ (Valiant),Verity (Lv.3),Heroes' Rally,Expert Destroyer,DEF Master (Augument),DEF Master (Lure),Verity (Lv.4)
060,Honganji Kennyo,x,,x,SPT,War,Edax,Normal,C5-5,Attack up (Lv.2),Chain,Fitness (Lv. 1),Pursuit (Stock +2),Knowledge (Lv.2),Sanctum (Stock +2),Agitation,Expert Destroyer,Prescience,Paradox+ (Bolster),SPT Master (Havoc),Attack up (Lv.4)
061,Hosokawa Gracia,x,,x,HLG,War,Dreadhalf,Normal,P5-17,Recuperation (Lv. 1),Chain,Vitality+ (Heal),Zeal (Stock +1),Recovery (Stock +2),Vitality (Stock +2),Vitality+ (Rigid),Vitality (Time +5s),Zeal+ (Rage),Vitality+ (Amplify),Recovery+ (Blessing),Zeal+ (Amplify)
062,Hosokawa Katsumoto,x,x,x,DCT,Honor,Phytodior,Ultimate,"C13-12, P13-5, P17-3",Verity (Lv.4),Chain,Wrath,Breaker+ (Amplify),Puncture+ (Attrib.),Breaker (Time +10s),DCT Master (Wraith),Breaker+ (Havok),Restart,DCT Master (Assault),Swordsmanship,Fervor
063,Hozoin In'ei,x,,x,SPC,War,Hell's Warden,Ex,"C7-18, C11-18, P8-13, P9-2, P10-20, P11-12",Knowledge (Lv.2),Chain,Zeal+ (Swift),Paradox (Stock +1),Vitality (Stock +2),Eruption (Stock +1),Zeal (Stock +2),Knowledge (Lv.3),Eruption+ (Raid),Fortification,Prescience,Knowledge (Absorb)
064,Ibaraki Doji,x,x,x,LCK,Grace,Chapter 12,-,,Dissection (Health),Fortune+ (Amplify),Exigency,Infusion,Random+ (Ward),Random (Stock +3),Fortune+ (Blessing),Random+ (Gamble),Fortune+ (Gambler),Fortune+ (Miracle),Exuberance,Revival+ (Quicken)
065,Icho Ofuji,x,x,x,HLG,Peace,Pyropteryx,Ultimate,P14-1,Recovery+ (Amplify),Charity,Vitality (Stock +3),Dancing Grace,Protection of Heroes,HLG Master (Cure),Vitality+ (Assist),HLG Master (Quicken),HLG Master (Rally),Panacea (Stock +1),Exuberance,Recovery (Stock +3)
066,Ii Naosuke,x,,x,DCT,Chaos,Pyropteryx,Normal,C5-1,Stealth (Lv. 1),Stupor (Reduce),Swiftness,Illusion (Stock +2),Verity (Lv.2),Puncture (Stock +2),Tenacity,Affliction (Lv. 3),Stealth (Lv. 2),Might+ (Surprise),Exploit (Absorb),Exploit (Rage)
067,Ikkyu,x,,x,SPC,Honor,Edax,Ex,"C6-12, C12-3, P8-14, P10-15, P12-6",Sanctum+ (Quicken),Evasion,Protection of Heroes,Paradox+ (Link),Paradox (Reduce),Revival+ (Blessing),Random (Reduce),Fortune+ (Quicken),Fortune (Time +10s),Random+ (SPC Style),Restart,Paradox+ (Attract)
068,Ikumatsu,x,x,x,SUP,Chaos,Putrox,Ex,"C9-6, C12-8, P11-1, P12-9",Lifesaver,Relaxation,Conviction,Diffusion+ (Rigid),Bound Souls,Stamina (Lv. 3),Altruism+ (Amplify),Diffusion+ (Reflect),SUP Master (Hardy),Recovery+ (Blessing),Stamina (Lv. 4),Recovery+ (Range)
069,Ino Tadataka,x,x,x,SUP,Peace,Pyropteryx,Normal,"C3-5, C3-11, P3-4, P3-7",Swiftness,Determination,Diffusion (Stock +1),Surveyance,Diffusion+ (Swift),Sanctum+ (Assist),Diffusion+ (Quicken),Sanctum+ (Swift),Warp+ (Assembly),Altruism+ (Qinggong),Warp (Stock +15),Protection of Heroes
070,Inugami No Mitasuki,x,,x,LCK,Yore,Sableblade,Ex,"C7-15, C7-17, P7-8, P10-8",Desperation,LCK Master (Fortune),Stamina (Lv. 3),Barrier+ (Link),Protection (Lv. 3),Fortune+ (Sturdy),Shield+ (Range),Restart,Fortune+ (Blessing),Random (Stock +3),Taunt+ (Sturdy),Chance
071,Ishida Mitsunari,x,,x,LCK,War,Edax,Normal,C5-5,Attack up (Lv.1),Fortune+ (Kismet),Stamina (Lv. 2),Fortune (Stock +1),Attack up (Lv.2),Might (Stock +2),Carnage (Stock +1),LCK Master (Revival),Protection of Heroes,Revival+ (Blessing),Sacrifice (Stock +1),Attack up (Lv.4)
072,Ishikawa Goemon,x,,x,LCK,War,Blitzer,Normal,C2-12,Attack up (Lv.1),Fervor,Stamina (Lv. 2),Random (Stock +2),Random+ (Gamble),Restart,Incandescence,LCK Master (Random),Fortune (Stock +2),Fortune+ (Miracle),Devotion,Prescience
073,Issun-boshi,x,,x,LCK,Honor,Pale Aurwing,Ex,C6-2,Chance,Attack up (Lv.1),Determination,Fortune (Stock +2),Haku Collector,Agility (Stock +2),Energy (Reduce),Ebullience,Fortune+ (Miracle),Energy+ (Accuracy),Fortune+ (Kismet),Protection of Heroes
074,Itagaki Taisuke,x,x,x,DEF,Chaos,Hell's Warden,Ultimate,"P16-1, P16-14",Protection (Lv. 4),Taunt+ (Damage),Barrier (Stock +1),Earthshaker,DEF Master (Protect),Barrier (Time +10s),Taunt+ (Protect),Barrier+ (Wraith),Shield+ (Link),Barrier+ (Shred),Majesty,Barrier (Stock +2)
075,Iwakura Tomomi,x,x,x,SPD,Chaos,Glaciabella,Ex,"C9-10, C10-6, C12-8, P12-9",Vigor (Time +5s),Charity,Tenacity,Readiness,Vigor (Time +10s),Breaker (Stock +3),Breaker (Time +10s),PLN Master (Amplify),Agility+ (Dual),Vigor+ (Assist),PLN Master (Extend),Bound Souls
076,Iwasaki Yataro,x,,x,LCK,Chaos,Pyrogrinder,Normal,"C5-16, P5-9",Attack up (Lv.2),Fervor,Chance,Fortune (Stock +2),Protection (Lv. 3),Random (Stock +2),Fortune (Reduce),Fortune+ (Amplify),Restart,Attack up (Lv.3),Fortune+ (Assist),Haku Enthusiast
077,Iyo,x,,x,HLG,Yore,Nightblade,Normal,"C5-17, P5-10, P5-16",Renewal (Lv.1),Vitality (Reduce),Recovery (Stock +1),Zeal (Stock +1),Tolerance (Lv.2),Vitality+ (Heal),Dissection (Health),Vitality (Time +10s),Vitality+ (Sturdy),Vitality+ (Amplify),,
078,Izanagi,x,,x,SPD,Yore,Skyshredder,Ex,"C7-17, C11-5",Wrath,Fitness (Lv. 2),Vigor (Stock +1),Zeal+ (Rage),Zeal+ (Ardor),Devotion,Zeal (Time +10s),Heroes' Rally,Vigor (Time +10s),Vigor+ (Special),Vigor+ (Sneak),Fervor
079,Izanami,x,,x,DCT,Yore,Pyrogrinder,Ex,"C7-17, P8-3",Swiftness,Chain,Charge,Puncture+ (Accuracy),Devastation,Stupor (Time +2s),Verity (Lv.3),DCT Master (Assault),Affliction (Lv. 4),Fountain+ (Surprise),Exploit (Absorb),Wrath
080,Izumi Shikibu,x,,x,LCK,Grace,Dreadhalf,Ex,"C6-11, C7-12, P7-12, P8-2, P10-5",Swiftness,Restoration (Lv. 3),Expert Destroyer,Random (Stock +2),Fortune+ (Swift),Energy (Time +10s),Energy+ (Swift),Random+ (SPD Style),Vigor+ (Special),Vigor+ (Link),Determination,Restoration (Lv. 4)
